bq53g1vnhdg	5eJBGJV5tKA64mAa9IVs16n4t9aui	47856545	201	0.00|146.26|196.22|617.01|0	1330531200219	0	11000	202.127.93.53	bc94hj89n50	RnRBuyAJIJo3pwFIiQdU16n4t9cri	48	0	0	29
bq53b5stq18	0r5to3F9uL40oZF5OXYG16n4spca4	110369598	201	0.00|667.72|953.26|2858.84|1	1330531200264	0	11000	122.202.169.69	016mvbg18t2a3v	cRXt4MjyEl5Jc1BMCFrE16n4spcr7	155	0	0	133
zd5EyOwMaDok	5EZcWdO5NFHlWLMRSS0816n4t61vu	122162654	201	0|244.89|497.12|497.12	1330531200271	0	15000	202.104.157.168	blm2cpq9m0c	y7s8jcIfo0L5kMSLs2iX16n4t61vv	62	0	0	49
bq53ef9dbmg	edCiInLDk63lYUvwsKjC16n4t459r	21180728	201	1353.95|1392.07|1392.76|2745.30|0	1330531200271	0	10000	223.214.185.229	016ksh7m371pei	t3wK4ybUezREgXHUJ30F16n4tccl2	340	0	0	45
bq52coeo2ma	zFaUi1QpOCGiM943SPYB16n4plmcr	41538274	201	0.00|2365.58|4503.09|5311.77|0	1330531200300	0	11000	192.193.171.151	016n4plcpnu0t	bYE8dE3VJAK3YitOTY3X16n4pme24	546	0	0	364
6sFGzIDuNaQh	45P7IBT1Ip3y3DIZe7ef16n4smeum	122295379	201	0.00|525.80|3787.12|3787.12|0	1330531200375	0	81000	58.22.109.60	0	NAhDSCu4ScZJqMkOOoCj16n4smeum	122	0	0	103
bq538g14dag	FTvL0x0b8J8iffnF1iqb16n4sgitv	122130892	201	0.00|620.53|2476.47|2476.32|1	1330531200395	0	10000	113.246.98.129	016n4lbfps1nng	RBIykxx3DjMl1ersEICi16n4sgkh8	153	0	0	123
bq52jcv4vri	ReKsbQSUoK3QXjFF3O1U16n4qbelu	104124535	201	2966.25|3402.14|3964.37|5567.09|0	1330531200431	0	11000	126.28.185.117	016m70sh9i2d77	562pYzHrEXLpQAWQ44t716n4t3ct4	695	0	0	626
bq52fmvc95e	yunKZ43PbgT8bJb2G8qp16n4pvc85	122296545	201	162.68|2507.65|2884.55|3785.61|0	1330531200472	0	11000	155.212.109.18	016mhqh87q4pu	9Paa6orRmgIUdgJHnw0Q16n4r623j	593	0	0	517
bq53acv5c5s	DyGlFLfPyfbpE46IYfHJ16n4smpti	114081960	201	0.00|590.16|3044.54|6399.68|0	1330531200474	0	10000	119.142.170.44	016n4rpuda2bgh	aJEqqnkNOXZSmr5RSjcz16n4sms1e	153	0	0	116
bq53d071kcm	ML2xdmyS8YOtx5sNCcwV16n4svb75	74126716	201	794.12|1537.92|2499.31|2643.15|1	1330531200475	0	10000	222.240.114.28	016n13uj5d1psh	FuVn2mDCr1N5JLT79NLu16n4t34b5	223	0	0	95
bq53d0s6is0	6YRIQK7gcDrAKqp2fRAt16n4svctr	59708651	201	127.84|669.25|1464.97|1464.97|1	1330531200478	0	10000	110.85.180.19	bnb3rm57hu0	denQ4dg0exmMufZGk2z916n4svtsb	133	0	0	109
